Film,Year,IMDB LINK,Location Display Text,Image File Name,Agency Credit,Artist Credit,Director/Filmmaker Name,Director/Filmmaker IMDB Link
Chelsea Walls,2001,http://www.imdb.com/title/tt0226935/,Chelsea Hotel on W. 23rd St. Chelsea Manhattan,ChelseaWalls_pf,Courtesy of Photofest,Directed by,Ethan Hawke,http://imdb.com/name/nm0000160/
Clockers,1995,http://www.imdb.com/title/tt0112688/,Gowanus Houses Brooklyn,Clockers2_pf,Courtesy of Photofest,Directed by,Spike Lee,http://www.imdb.com/name/nm0000490/
Coogan's Bluff,1968,http://www.imdb.com/title/tt0062824/,Fort Tryon Park Manhattan,CoogansBluff_pf,Courtesy of Photofest,Directed by,Don Siegel,http://imdb.com/name/nm0796923/
Cotton Comes to Harlem,1970,http://imdb.com/title/tt0065579/,Harlem,,,Directed by,Ossie Davis,http://imdb.com/name/nm0001115/
Crocodile Dundee,1986,http://imdb.com/title/tt0090555/,Fifth Ave. and 53rd St. Midtown Manhattan,CrocodileDundee3_pf,Courtesy of Photofest,Directed by,Peter Faiman,http://imdb.com/name/nm0265363/
Crocodile Dundee II,1988,http://www.imdb.com/title/tt0092493/,"Chambers St. near Centre St. Lower Manhattan
",CrocodileDundee4_pf,Courtesy of Photofest,Directed by,John Cornell,http://imdb.com/name/nm0180259/
Crooklyn,1994,http://www.imdb.com/title/tt0109504/,Stuyvesant Ave. and Macon St. Brooklyn,crooklyn1_pf,Courtesy of Photofest,Directed by,Spike Lee,http://www.imdb.com/name/nm0000490/
Crossing Delancey,1988,http://www.imdb.com/title/tt0094921/,35 Essex St. Lower East Side Manhattan,,,Directed by,Joan Micklin Silver,http://imdb.com/name/nm0798717/
Cruising,1980,http://www.imdb.com/title/tt0080569/,West Village Manhattan,Cruising_pf,Courtesy of Photofest,Directed by,William Friedkin,http://imdb.com/name/nm0001243/
Cruising,1980,http://www.imdb.com/title/tt0080569/,Central Park Manhattan,Cruising_ec,"Courtesy of Everett Collection, Inc.",Directed by,William Friedkin,http://imdb.com/name/nm0001243/
Death to Smoochy,2002,http://www.imdb.com/title/tt0266452/,Seventh Ave. and 48th St. Times Square Manhattan,,,Directed by,Danny DeVito,http://imdb.com/name/nm0000362/
Death Wish,1974,http://www.imdb.com/title/tt0071402/,Subway Station near Court St. Brooklyn,DeathWish_pf,Courtesy of Photofest,Directed by,Michael Winner,http://imdb.com/name/nm0935382/
Desperately Seeking Susan,1985,http://www.imdb.com/title/tt0089017/,St. Marks Place East Village Manhattan,DesperatelySeeking_pf,Courtesy of Photofest,Directed by,Susan Seidelman,http://imdb.com/name/nm0782384/
Desperately Seeking Susan,1985,http://www.imdb.com/title/tt0089017/,George Washington Bus Terminal Manhattan,DesperatelySeeking1_ec,"Courtesy of Everett Collection, Inc.",Directed by,Susan Seidelman,http://imdb.com/name/nm0782384/
Die Hard: With a Vengeance,1995,http://www.imdb.com/title/tt0112864/,Central Park South Manhattan,DieHardWithAvengance_pf,Courtesy of Photofest,Directed by,John McTiernan,http://imdb.com/name/nm0001532/
Do the Right Thing,1989,http://www.imdb.com/title/tt0097216/,Stuyvesant Ave. Bedford-Stuyvesant Brooklyn,DoTheRightthing3_pf,Courtesy of Photofest,Directed by,Spike Lee,http://www.imdb.com/name/nm0000490/
Dog Day Afternoon,1972,http://www.imdb.com/title/tt0072890/,Prospect Park South and 16th St. Brooklyn,,,Directed by,Sidney Lumet,http://imdb.com/name/nm0001486/
Downtown 81 / New York Beat Movie,1981,http://www.imdb.com/title/tt0208993/,The Empire State Building Midtown Manhattan,Downtown81_2_pf,Courtesy of Photofest,Directed by,Edo Bertoglio,http://imdb.com/name/nm0078166/
Downtown 81 / New York Beat Movie,1981,http://www.imdb.com/title/tt0208993/,Guggenheim Museum Upper East Side Manhattan,Downtown81_pf,Courtesy of Photofest,Directed by,Edo Bertoglio,http://imdb.com/name/nm0078166/
Eternal Sunshine of the Spotless Mind,2004,http://www.imdb.com/title/tt0338013/,Orchard St. and Rivington St. Lower East Side Manhattan,EternalSunshine_ec,"Courtesy of Everett Collection, Inc.",Directed by,Michel Gondry,http://imdb.com/name/nm0327273/
Fame,1980,http://www.imdb.com/title/tt0080716/,High School of the Performing Arts 120 W. 46th St. Manhattan,,,Directed by,Alan Parker,http://imdb.com/name/nm0000570/
Fame,1980,http://www.imdb.com/title/tt0080716/,W. 59th St. and Tenth Ave. Upper West Side Manhattan,,,Directed by,Alan Parker,http://imdb.com/name/nm0000570/
Ferry Tales,2003,http://www.imdb.com/title/tt0363607/,St. George Station Staten Island,FerryTales_ec,"Courtesy of Everett Collection, Inc.",Directed by,Katja Esson,http://imdb.com/name/nm1534515/
Force of Evil,1948,http://imdb.com/title/tt0040366/,George Washington Bridge Manhattan,,,Directed by,Abraham Polonsky,http://imdb.com/name/nm0689796/
Fort Apache the Bronx,1981,http://imdb.com/title/tt0082402/,A South Bronx rooftop The Bronx,FortApache_ec,"Courtesy of Everett Collection, Inc.",Directed by,Daniel Petrie,http://imdb.com/name/nm0677951/
Ghostbusters,1984,http://www.imdb.com/title/tt0087332/,Columbus Circle Upper West Side Manhattan,Ghostbusters_pf,Courtesy of Photofest,Directed by,Ivan Reitman,http://imdb.com/name/nm0718645/
Ghostbusters,1984,http://www.imdb.com/title/tt0087332/,W. 66th St. and Central Park West Upper West Side Manhattan,Ghostbusters2_pf,Courtesy of Photofest,Directed by,Ivan Reitman,http://imdb.com/name/nm0718645/
Godspell,1973,http://www.imdb.com/title/tt0070121/,World Trade Center Lower Manhattan,Godspell3_pf,Courtesy of Photofest,Directed by,David Greene,http://imdb.com/name/nm0338719/
Godspell,1973,http://www.imdb.com/title/tt0070121/,Times Square Manhattan,Godspell4_pf,Courtesy of Photofest,Directed by,David Greene,http://imdb.com/name/nm0338719/
